FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
KAILAHUN,DEA,5.995936,2015,1
KAILAHUN,JAHN,2.9320784,2015,1
KAILAHUN,JAWIE,2.762981,2015,1
KAILAHUN,KISSI KAMA,2.5051384,2015,1
KAILAHUN,KISSI TENG,1.4522593,2015,1
KAILAHUN,KISSI TONGI,2.1077774,2015,1
KAILAHUN,KPEJE BONGRE,1.5348513,2015,1
KAILAHUN,KPEJE WEST,2.1975923,2015,1
KAILAHUN,LUAWA,3.6985824,2015,1
KAILAHUN,MALEMA,5.178044,2015,1
KAILAHUN,MANDU,3.7567601,2015,1
KAILAHUN,NJALUAHUN,2.1262696,2015,1
KAILAHUN,PENGUIA,2.7485015,2015,1
KAILAHUN,UPPER BAMBARA,4.051448,2015,1
KAILAHUN,YAWEI,2.626901,2015,1
KENEMA,DAMA,4.0722756,2015,1
KENEMA,DODO,3.108217,2015,1
KENEMA,GAURA,5.0983725,2015,1
KENEMA,GORAMA MENDE,3.4348156,2015,1
KENEMA,KANDU LEPPIAMA,5.0789895,2015,1
KENEMA,KOYA,3.6451373,2015,1
KENEMA,LANGRAMA,1.0583433,2015,1
KENEMA,LOWER BAMBARA,4.4126844,2015,1
KENEMA,MALEGOHUN,2.6608603,2015,1
KENEMA,NIAWA,2.9045646,2015,1
KENEMA,NOMO,3.7368665,2015,1
KENEMA,NONGOWA,4.143151,2015,1
KENEMA,SIMBARU,2.3884199,2015,1
KENEMA,SMALL BO,3.955457,2015,1
KENEMA,TUNKIA,4.2629476,2015,1
KENEMA,WANDOR,3.3104382,2015,1
KENEMA,KENEMA CITY,4.23354,2015,1
KONO,FIAMA,2.3432424,2015,1
KONO,GBANE,3.026976,2015,1
KONO,GBANE KANDOR,1.851021,2015,1
KONO,GBENSE,1.553392,2015,1
KONO,GORAMA KONO,2.8923016,2015,1
KONO,KAMARA,3.1840744,2015,1
KONO,LEI,3.3413396,2015,1
KONO,MAFINDOR,2.3563018,2015,1
KONO,NIMIKORO,3.6407492,2015,1
KONO,NIMIYAMA,2.8385646,2015,1
KONO,SANDOR,3.5503602,2015,1
KONO,SOA,3.2706325,2015,1
KONO,TANKORO,2.420533,2015,1
KONO,TOLI,1.5103403,2015,1
KONO,KOIDU CITY,0.0,2015,1
BOMBALI,BIRIWA,1.2975352,2015,1
BOMBALI,BOMBALI SEBORA,1.0212458,2015,1
BOMBALI,BOMBALI SIARI,0.4565331,2015,1
BOMBALI,GBANTI,0.5846724,2015,1
BOMBALI,GBENDEMBU,0.9427522,2015,1
BOMBALI,KAMARANKA,0.57468677,2015,1
BOMBALI,MAGBAIMBA NDORWAHUN,0.67658055,2015,1
BOMBALI,MAKARI,1.3379135,2015,1
BOMBALI,MARA,1.1718671,2015,1
BOMBALI,N'GOWAHUN,1.3312539,2015,1
BOMBALI,PAKI MASABONG,1.4175843,2015,1
BOMBALI,SAFROKO LIMBA,1.3142965,2015,1
BOMBALI,MAKENI CITY,0.0,2015,1
FALABA,DELEMANDUGU,1.4767528,2015,1
FALABA,DEMBELIA,2.3056564,2015,1
FALABA,DEMBELIA-SINKUNIA,2.3197148,2015,1
FALABA,FOLOSABA,2.2595334,2015,1
FALABA,KAMADU YIRAIA,2.3542635,2015,1
FALABA,KEBELIA,1.697085,2015,1
FALABA,KULOR SARADU,1.250453,2015,1
FALABA,MONGO,2.5357716,2015,1
